group,density,direction,assoc,poolsize,support,precision,recall,fone
F,S,s,P,5,2,0.400000,1.000000,0.571429
F,D,s,P,5,4,0.444444,1.000000,0.615385
F,S,s,P,10,4,0.181818,1.000000,0.307692
F,D,s,P,10,10,0.384615,1.000000,0.555556
F,S,s,P,20,8,0.065041,1.000000,0.122137
F,D,s,P,20,20,0.156250,1.000000,0.270270
C,S,s,N,5,2,0.000000,0.000000,0.000000
C,D,s,N,5,4,0.266667,1.000000,0.421053
C,S,s,N,10,4,0.066667,1.000000,0.125000
C,D,s,N,10,10,0.160714,0.900000,0.272727
C,S,s,N,20,8,0.026432,0.750000,0.051064
C,D,s,N,20,20,0.081818,0.900000,0.150000
B,S,s,P,5,2,0.500000,1.000000,0.666667
B,S,s,N,5,2,0.153846,1.000000,0.266667
B,D,s,P,5,4,0.160000,1.000000,0.275862
B,D,s,N,5,4,0.064516,1.000000,0.121212
B,S,s,P,10,8,0.066116,1.000000,0.124031
B,S,s,N,10,8,0.028112,0.880000,0.054475
B,D,s,P,10,4,0.333333,0.500000,0.400000
B,D,s,N,10,4,0.250000,0.750000,0.375000
B,S,s,P,20,10,0.156250,0.500000,0.238095
B,S,s,N,20,10,0.166667,0.900000,0.281250
B,D,s,P,20,18,0.124031,0.890000,0.217687
B,D,s,N,20,18,0.064103,0.830000,0.119048
F,S,a,P,10,3,0.090909,0.670000,0.160000
F,D,a,P,10,7,0.222222,0.290000,0.250000
F,S,a,P,20,6,0.061538,0.670000,0.112676
F,D,a,P,20,15,0.114286,0.270000,0.160000
C,S,a,N,10,3,0.051724,1.000000,0.098361
C,D,a,N,10,8,0.193548,0.750000,0.307692
C,S,a,N,20,7,0.026667,0.570000,0.050955
C,D,a,N,20,15,0.061069,0.530000,0.109589
